0,0,-0.25,-0.61,-0.61,-162.69,-20.56,50.50,-0.2104,0.6400,-0.1412,-0.7253
1,0,-0.36,-0.92,-0.96,-140.25,-22.50,56.94,-0.0958,0.6418,-0.0756,-0.7571
2,1,-0.64,-1.51,-1.44,-116.81,-36.31,51.31,0.0062,0.6248,-0.0198,-0.7805
3,0,-0.61,-1.80,-1.99,-92.06,-31.37,53.69,0.0945,0.5970,0.0195,-0.7964
4,0,-0.61,-1.72,-2.29,-80.06,-22.81,37.38,0.1581,0.5856,0.0641,-0.7925
5,0,-0.08,-1.47,-1.97,-63.06,-13.06,27.12,0.1959,0.5882,0.1179,-0.7758
6,0,0.18,-1.05,-1.47,-49.19,12.00,20.50,0.2227,0.5982,0.1614,-0.7527
7,0,-0.09,-0.88,-0.85,-39.38,27.25,1.87,0.2359,0.6147,0.2037,-0.7246
8,0,-0.03,-0.69,-0.06,-19.37,42.00,-1.00,0.2371,0.6311,0.2362,-0.6998
9,0,-0.18,-0.35,0.59,-4.81,56.31,-12.50,0.2268,0.6551,0.2578,-0.6730
10,0,-0.34,-0.15,1.15,16.37,49.13,-25.75,0.2005,0.6729,0.2750,-0.6567
11,1,-0.30,0.31,1.44,44.31,43.31,-25.81,0.1628,0.6845,0.2722,-0.6564
12,1,-0.24,0.73,1.30,70.81,22.56,-36.06,0.1130,0.6926,0.2520,-0.6663
13,2,0.05,1.18,1.08,107.62,-0.50,-26.69,0.0435,0.6935,0.2155,-0.6861
14,3,-0.09,1.54,0.33,141.19,-12.81,-10.81,-0.0394,0.6868,0.1512,-0.7098
15,3,-0.26,1.33,-0.49,176.25,-27.12,11.50,-0.1290,0.6613,0.0549,-0.7369
16,3,-0.38,0.54,-1.32,197.75,-5.94,34.63,-0.2153,0.6220,-0.0760,-0.7490
17,3,-0.40,-0.84,-1.72,212.56,13.88,40.63,-0.2945,0.5763,-0.2258,-0.7281
18,3,-0.42,-2.04,-1.04,214.12,39.81,30.94,-0.3648,0.5224,-0.3790,-0.6711
19,1,-0.18,-2.70,0.03,204.81,47.56,0.69,-0.4270,0.4727,-0.5111,-0.5770
20,0,-0.14,-2.50,1.33,202.19,33.56,-16.50,-0.4886,0.4161,-0.6128,-0.4611
21,0,0.16,-1.67,1.99,194.94,13.00,-31.81,-0.5496,0.3517,-0.6804,-0.3337
22,0,0.05,-0.80,2.09,196.37,-18.19,-23.31,-0.6130,0.2711,-0.7128,-0.2063
23,0,-0.12,-0.14,1.51,195.87,-28.00,0.06,-0.6663,0.1664,-0.7216,-0.0875
24,0,-0.11,-0.21,0.75,192.06,-32.38,25.19,-0.7027,0.0438,-0.7100,0.0176
