time_since_start,count,sys,p_stat,p_pres,p_temp,p_psi,p_vel,p_cel,strain0,strain1,lin_x,lin_y,lin_z,rps_x,rps_y,rps_z,euler_x,euler_y,euler_z,quat_w,quat_x,quat_y,quat_z,bmp_temp,bmp_pres,bmp_alt,gps_str
1813,18,1,2,8136.0,654.0,0.0056291556,7.960,13.898,225,75,0.040,0.000,-0.130,0.250,0.937,-0.062,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.992,1020.739,-62.167,$GPRMC,151149.087,V,,,,,0.00,0.00,210222,,,N*4A
1921,19,1,2,8136.0,655.0,0.0056291556,7.960,13.996,176,73,0.030,0.060,0.040,0.375,0.500,0.000,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.991,1020.736,-62.139,$GPRMC,151149.187,V,,,,,0.00,0.00,210222,,,N*4B
2021,20,1,2,8136.0,654.0,0.0056291556,7.960,13.898,178,80,0.040,0.070,0.050,0.062,-0.437,0.000,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.992,1020.730,-62.091,$GPRMC,151149.288,V,,,,,0.00,0.00,210222,,,N*47
2128,21,1,2,8127.0,655.0,0.0050187668,7.516,13.996,175,79,-0.020,0.020,-0.010,0.062,-0.312,-0.125,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.993,1020.732,-62.110,$GPRMC,151149.388,V,,,,,0.00,0.00,210222,,,N*46
2228,22,1,2,8130.0,654.0,0.0052222297,7.667,13.898,172,77,0.010,0.040,-0.030,0.062,0.062,-0.062,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.992,1020.729,-62.082,$GPRMC,151149.488,V,,,,,0.00,0.00,210222,,,N*41
2335,23,1,2,8136.0,654.0,0.0056291556,7.960,13.898,175,81,0.000,0.060,-0.050,0.000,-0.750,0.000,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.992,1020.721,-62.019,$GPRMC,151149.587,V,,,,,0.00,0.00,210222,,,N*4F
2435,24,1,2,8130.0,654.0,0.0052222297,7.667,13.898,173,75,0.000,0.040,-0.040,0.125,0.250,0.000,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.991,1020.726,-62.062,$GPRMC,151149.687,V,,,,,0.00,0.00,210222,,,N*4C
2535,25,1,2,8133.0,654.0,0.0054256927,7.815,13.898,177,75,0.020,0.050,0.000,0.062,-0.187,-0.062,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.992,1020.723,-62.037,$GPRMC,151149.788,V,,,,,0.00,0.00,210222,,,N*42
2643,26,1,2,8133.0,654.0,0.0054256927,7.815,13.898,177,77,0.000,0.050,0.000,0.062,0.062,0.187,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.993,1020.737,-62.151,$GPRMC,151149.888,V,,,,,0.00,0.00,210222,,,N*4D
2743,27,1,2,8130.0,654.0,0.0052222297,7.667,13.898,175,82,-0.020,0.040,0.000,0.312,0.187,-0.062,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.993,1020.743,-62.195,$GPRMC,151149.988,V,,,,,0.00,0.00,210222,,,N*4C
2848,28,0,0,8139.0,654.0,0.0058326186,8.103,13.898,176,82,0.010,0.070,-0.030,0.125,-0.125,-0.125,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.994,1020.739,-62.167,$GPRMC,151150.087,V,,,,,0.00,0.00,210222,,,N*42
2948,29,0,2,8136.0,654.0,0.0056291556,7.960,13.898,171,73,-0.020,0.060,-0.020,0.000,0.125,-0.062,-0.042,-0.195,-0.034,0.995,-0.015,0.098,-0.019,17.994,1020.725,-62.053,$GPRMC,151150.187,V,,,,,0.00,0.00,210222,,,N*43
